"SPECIES","NAME","b","a","b_std_err","b_tval","b_pval","a_std_err","a_tval","a_pval","adj_r2","r2","F_val","F_num_df","F_den_df","Ymin","Ymax","Z_VAL","SIG_95"
"S45","Species 51",-0.0159999999999999,31.9129999999997,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,-0.971554423140567,FALSE
"S46","Species 52",-0.00979999999999991,20.2040999999998,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,-0.190073525215951,FALSE
"S47","Species 54",0.00679999999999995,-13.3095999999999,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,0.519023484267417,FALSE
"S48","Species 55",0.0852999999999993,-169.277849999999,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,0.934282584884994,FALSE
"S49","Species 56",0.0389999999999997,-77.3954999999994,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,0.9375,FALSE
"S50","Species 57",-0.0134999999999999,26.9267499999998,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,-0.91479708437141,FALSE
"S51","Species 6",-0.0199999999999998,39.9469999999997,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,-2.95850219363774,TRUE
"S52","Species 66",0.000199999999999998,-0.396899999999997,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,0.0833333333333333,FALSE
"S53","Species 7",-0.0128999999999999,25.8310499999998,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,-1.20183437608775,FALSE
"S54","Species 8",0.0172999999999999,-34.1988499999997,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,2.34018946535538,TRUE
"S55","Species 9",0.0182999999999999,-36.0173499999997,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1984.5,1994.5,2.24425873011701,TRUE
